collection;Source;original;reasons for modication;ID;Used constraint;Constraints;Negative;Type;ActionA;ActionB;Type;ActionA;ActionB;Type;ActionA;ActionB;;;;;;;;;
1;2;Only after LO has assigned its case id it is possible to manage the case and for LO to propose dates.;n/a;29;Only after LO has assigned its case id it is possible to manage the case and for LO to propose dates.;2;FALSE;precedence;assign case id;manage case;precedence;assign case id;propose dates;;;;;;;;;;;;
1;2;Once a date has been agreed upon a meeting should eventually be held.;n/a;30;Once a date has been agreed upon a meeting should eventually be held.;1;FALSE;response;agree date;hold meeting;;;;;;;;;;;;;;;
1;6;Every process instance starts by examining a patient.;n/a;31;Every process instance starts by examining a patient.;1;FALSE;init;examine patient;;;;;;;;;;;;;;;;
1;6;If an x-ray is taken, then the x-ray risk must be checked before it;cut second part since we do not currently consider alternate constraints;32;If an x-ray is taken, then the x-ray risk must be checked before it;1;FALSE;precedence;check x-ray risk;perform x-ray risk;;;;;;;;;;;;;;;
1;6;Perform reposition, Apply cast and Perform surgery require that Perform X-ray occurs before they are executed.;changed synthetic labels to proper sentence;33;Performing a reposition, applying a cast and performing surgery require that x-rays are performed before.;3;FALSE;precedence;perform x-ray;perform reposition;precedence;perform x-ray;apply cast;precedence;perform x-ray;perform surgery;;;;;;;;;
1;6;If a surgery is performed, then prescription of rehabilitation occurs eventually after it.;n/a;34;If a surgery is performed, then prescription of rehabilitation occurs eventually after it.;1;FALSE;response;perform surgery;prescribe rehabilitation;;;;;;;;;;;;;;;
1;6;After a cast is applied, eventually the cast is removed and vice versa, before every removal of a cast, a cast must be applied.;n/a;35;After a cast is applied, eventually the cast is removed and vice versa, before every removal of a cast, a cast must be applied.;1;FALSE;succession;apply cast;remove cast;;;;;;;;;;;;;;;
1;3;The process begins with the booking of the ticket;n/a;36;The process begins with the booking of the ticket;1;FALSE;init;book ticket;;;;;;;;;;;;;;;;
1;3;Personal information of passengers can be provided after the booking of the ticket;n/a;37;Personal information of passengers can be provided after the booking of the ticket;1;FALSE;precedence;book ticket;provide personal information;;;;;;;;;;;;;;;
1;3;The payment of the ticket triggers the completion of the booking phase.;n/a;38;The payment of the ticket triggers the completion of the booking phase.;1;FALSE;response;payment ticket;booking phase completion;;;;;;;;;;;;;;;
1;3;The payment of the ticket is eventually followed by the actual transfer of money;n/a;39;The payment of the ticket is eventually followed by the actual transfer of money;1;FALSE;response;payment ticket;money transfer;;;;;;;;;;;;;;;
1;3;As long as the Check-in of the flight does not take place, the customers can still modify the provided data to change;n/a;40;As long as the Check-in of the flight does not take place, the customers can still modify the provided data to change;1;TRUE;succession;check-in flight;modify provided data;;;;;;;;;;;;;;;
1;3;After check-in of the flight, only the cancellation is admitted;n/a;41;After check-in of the flight, only the cancellation is admitted;1;FALSE;precedence;check-in flight;cancellation;;;;;;;;;;;;;;;
1;1;The process starts when an invoice is received by the administration department.;n/a;42;The process starts when an invoice is received by the administration department.;1;FALSE;init;receive invoice;;;;;;;;;;;;;;;;
1;1;If they decide that the invoice appears legit then they enter all relevant data into the system, in particular the amount the invoice is for, which is used by the workflow system to determine whose approval is needed for the invoice.;trimmed additional information;43;If they decide that the invoice appears legit then they enter all relevant data into the system;1;FALSE;response;decide invoice legit;enter all relevant data;;;;;;;;;;;;;;;
1;1;When all necessary approvals have been received the invoice can be paid.;n/a;44;When all necessary approvals have been received the invoice can be paid.;1;FALSE;precedence;receive all necessary approvals;pay invoice;;;;;;;;;;;;;;;
1;1;Once payment is confirmed, the invoice case should be closed.;n/a;45;Once payment is confirmed, the invoice case should be closed.;1;FALSE;response;confirm payment;close case;;;;;;;;;;;;;;;
1;1;Receive invoice is required before the administration department can execute Enter data or Scan invoice.;changed synthetic labels to proper sentence;46;The receipt of an invoice is required before the administration department can enter data or scan the invoice.;2;FALSE;precedence;receipt of an invoice;enter data;precedence;receipt of an invoice;scan invoice;;;;;;;;;;;;
1;1;Enter data is required before any approval can be given.;n/a;47;Enter data is required before any approval can be given.;1;FALSE;precedence;enter data;give approval;;;;;;;;;;;;;;;
1;1;Finally, we have to pay the invoice before we can confirm payment.;n/a;48;Finally, we have to pay the invoice before we can confirm payment.;1;FALSE;precedence;pay invoice;confirm payment;precedence;reice invoice;scan invoice;;;;;;;;;;;;
1;4;If a request is sent, then a proposal is expected to be prepared afterwards;n/a;49;If a request is sent, then a proposal is expected to be prepared afterwards;1;FALSE;response;send request;prepare proposal;;;;;;;;;;;;;;;
1;4;A confirmation is supposed to be mandatorily given after the proposal, and vice-versa any proposal is expected to precede a confirmation ;n/a;50;A confirmation is supposed to be mandatorily given after the proposal, and vice-versa any proposal is expected to precede a confirmation ;1;FALSE;succession;give confirmation;proposal;;;;;;;;;;;;;;;
1;5;"Every process instance has to start with activity ""register client data""";changed synthetic labels to proper sentence;51;Every process instance has to start by registering client data;1;FALSE;init;register client data;;;;;;;;;;;;;;;;
1;5;Every _room serviceî must be billed.;changed synthetic labels to proper sentence;52;Every provided room service must be billed.;1;FALSE;response;provide room service;bill;;;;;;;;;;;;;;;
1;5;Every _laundry serviceî must be billed.;changed synthetic labels to proper sentence;53;Every provided laundry service must be billed;1;FALSE;response;provide laundry service;bill;;;;;;;;;;;;;;;
1;5;"When the client _checks-outî the bill must be ""charged""";changed synthetic labels to proper sentence;54;When the client leaves, the bill must be charged;1;FALSE;response;leave;charge bill;;;;;;;;;;;;;;;
3;claimscreation.txt;;;55;The Police Report related to the car accident is searched within the Police Report database and put in a file together with the Claim Documentation.;1;;precedence;search report;put in a file together with the claim documentation;;;;;;;;;;;;;;;
3;Model1-2.txt;A customer brings in a defective computer and the manager checks the defect and hands out a repair cost calculation back.;;56;A customer brings in a defective computer and the manager analyzes the defect and gives back an invoice.;2;;precedence;bring in a defective computer;analyze the defect;precedence;analyze the defect;give invoice;;;;;;;;;;;;
3;Model1-2.txt;After each of these activities, the proper system functionality is tested.;;57;After each of these activities, the proper system functionality is tested.;2;;response;each of these activities;test proper system functionality;;;;;;;;;;;;;;;
3;Model1-2.txt;If an error is detected another arbitrary repair activity is executed, otherwise the repair is finished.;;58;If an error is detected, another arbitrary repair activity is executed, otherwise the repair is finished.;1;;precedence;error is detected;execute repair activity;;;;;;;;;;;;;;;
3;Model3-3.txt;After a claim is registered, it is examined by a claims officer.;;59;After a claim is registered, it is examined by a claims officer.;1;;precedence;register claim;examine claim;;;;;;;;;;;;;;;
3;Model3-3.txt;This recommendation is then checked by a senior claims officer who may mark the claim as OK or Not OK.;;60;This recommendation is then checked by a senior claims officer who may mark the claim as OK or Not OK.;2;;precedence;Check recommendation;Mark as OK;precedence;Check recommendation;Mark as Not OK;;;;;;;;;;;;
3;Model3-3.txt;If the claim is marked as Not OK, it is sent back to the claims officer and the recommendation is repeated.;;61;If the claim is marked as Not OK, it is sent back to the claims officer and the recommendation is repeated.;2;;precedence;Mark as not ok;send it back;precedence;send it back;Repeat recommendation;;;;;;;;;;;;
3;Model3-3.txt;If the claim is OK, the claim handling process proceeds.;;62;If the claim is OK, the claim handling process proceeds.;1;;precedence;Mark as Ok;Proceed with claim;;;;;;;;;;;;;;;
3;472026493_rev3.txt;The process of buying new hardware is started as soon as a request for new hardware is received by the IT department.;;63;The process of buying new hardware is started as soon as a request for new hardware is received by the IT department.;1;;init;Receive request for new hardware;;;;;;;;;;;;;;;;
3;472026493_rev3.txt;The next step is for the IT department to analyse the request and either approve or deny it.;;64;The next step is for the IT department to analyse the request and either approve or deny it.;2;;precedence;Analyze request;Approve request;precedence;Analyze request;Deny request;;;;;;;;;;;;
3;472026493_rev3.txt;If it is denied, the employee is informed via email about the denial and the process is ended.;;65;If it is denied, the employee is informed via email about the denial and the process is ended.;2;;precedence;Deny request;inform employee via email;end;inform employee via email;;;;;;;;;;;;;
3;472026493_rev3.txt;However, if the request is approved it is edited and completed.;;66;However, if the request is approved it is edited and completed.;2;;precedence;Approve request;edit request;precedence;Approve request;Complete request;;;;;;;;;;;;
3;472026493_rev3.txt;Once this offer is received, a form is filled in and sent to the management.;;67;Once this offer is received, a form is filled in and sent to the management.;2;;precedence;Receive offer;fill in form;precedence;Receive offer;send to management;;;;;;;;;;;;
3;472026493_rev3.txt;The management then analyses the request and decides if it is approved or not.;;68;The management then analyses the request and decides if it is approved or not.;1;;precedence;Analyze request;decide if approved;;;;;;;;;;;;;;;
3;472026493_rev3.txt;When this is accepted and the financial resources are found the hardware is received by the IT department.;;69;When this is accepted and the financial resources are found, the hardware is received by the IT department.;2;;precedence;this is accepted;receive hardware by IT department;precedence;financial resourced are found;receive hardware by IT department;;;;;;;;;;;;
3;472026493_rev3.txt;After which the financial department will take care of the invoice and the processes is ended.;;70;After which the financial department will take care of the invoice and the processes is ended.;1;;end;take care of invoice;;;;;;;;;;;;;;;;
3;472026493_rev3.txt;In the scenario where the management does not approve the request it can send the request back to the IT department for rework, then the IT department has to go back to editing and completing a request.;;71;In the scenario where the management does not approve the request, it can send the request back to the IT department for rework, then the IT department has to go back to editing and completing a request.;2;;precedence;Deny request;Send back request to IT;response;Send back request to IT;Complete request;;;;;;;;;;;;
3;472026493_rev3.txt;If the management does not approve the request it can also decide to deny the request after which the process is ended.;;72;If the management does not approve the request, it can also decide to deny the request after which the process is ended.;2;TRUE;precedence;approve request;deny request;end;deny request;;;;;;;;;;;;;
3;Model5-1.txt;The loan approval process starts by receiving a customer request for a loan amount.;;73;The loan approval process starts by receiving a customer request for a loan amount.;1;;Init;receive customer request;;;;;;;;;;;;;;;;
3;Model5-1.txt;If the customer needs further review or the loan amount is for \$10,000 or more, the request is sent to the approver Web service.;;74;If the customer needs further review or the loan amount is for \$10,000 or more, the request is sent to the approver Web service.;1;;Precedence;need further review;send request;;;;;;;;;;;;;;;
3;Model5-3.txt;The process of an Office Supply Request starts when any employee of the organization submits an office supply request.;;75;The process of an Office Supply Request starts when any employee of the organization submits an office supply request.;1;;Init;submit office supply request;;;;;;;;;;;;;;;;
3;Model5-3.txt;Once the requirement is registered, the request is received by the immediate supervisor of the employee requesting the office supplies.;;76;Once the requirement is registered, the request is received by the immediate supervisor of the employee requesting the office supplies.;1;;Precedence;register requirement;receive request;;;;;;;;;;;;;;;
3;Model5-3.txt;If the request is rejected the process will end.;;77;If the request is rejected, the process will end.;1;;End;reject request;;;;;;;;;;;;;;;;
3;Model5-3.txt;If the request is asked to make a change then it is returned to the petitioner/employee who can review the comments for the change request.;;78;If the request is asked to make a change, then it is returned to the petitioner who can review the comments for the change request.;2;;Precedence;ask to make change;return to petitioner/employee;Precedence;return to petitioner/employee;review comments;;;;;;;;;;;;
3;Model5-3.txt;If the request is approved it will go to the purchase department that will be in charge of making quotations (using a subprocess) and select a vendor.;;79;If the request is approved, it will go to the purchase department that will be in charge of making quotations (using a subprocess) and select a vendor.;2;;Precedence;approve request;go to purchase department;Precedence;go to purchase department;make quotations / select vendor;;;;;;;;;;;;
3;Model5-3.txt;After a vendor is selected and confirmed, the system will generate and send a purchase order and wait for the product to be delivered and the invoice received.;;80;After a vendor is selected and confirmed, the system will generate and send a purchase order and wait for the product to be delivered and the invoice received.;2;;Precedence;select vendor;generate purchase order;Precedence;confirm vendor;geneate purchase order;Precedence;select vendor;product delivered;Precedence;confirm vendor;product delivered;Precedence;select vendor;invoice received;Precedence;confirm vendor;invoice received
3;Model5-3.txt;In any of the cases, approval, rejection or change required the system will send the user a notification.;;81;In any of the cases, approval, rejection or change required the system will send the user a notification.;1;;Response;approval, rejection, change;send notification;;;;;;;;;;;;;;;
3;Model5-2.txt;The process of Vacations Request starts when any employee of the organization submits a vacation request.;;82;The process starts when any employee of the organization submits a vacation request.;1;;Init;submit vacation request;;;;;;;;;;;;;;;;
3;Model5-2.txt;Once the requirement is registered, the request is received by the immediate supervisor of the employee requesting the vacation.;;83;Once the requirement is registered, the request is received by the immediate supervisor of the employee requesting the vacation.;1;;Precedence;register requirement;receive request;;;;;;;;;;;;;;;
3;Model5-2.txt;If the request is rejected, the application is returned to the applicant/employee who can review the rejection reasons.;;84;If the request is rejected, the application is returned to the applicant/employee who can review the rejection reasons.;2;;Precedence;reject request;return application;Precedence;return application;review rejection reasons;;;;;;;;;;;;
3;Model5-2.txt;If the request is approved a notification is generated to the Human Resources Representative, who must complete the respective management procedures.;;85;If the request is approved, a notification is generated to the Human Resources Representative, who must complete the respective management procedures.;2;;Precedence;approve request;generate notification;Response;generate notification;complete management procedures;;;;;;;;;;;;
3;784358570_rev2.txt;The process starts by reviewing the order.;;86;The process starts by reviewing the order.;1;;Init;review order;;;;;;;;;;;;;;;;
3;784358570_rev2.txt;If something is missing, the staff has to inform customer about a potential delay and order the missing products.;;87;If something is missing, the staff has to inform customer about a potential delay and order the missing products.;1;;Precedence;inform customer;order missing products;;;;;;;;;;;;;;;
3;784358570_rev2.txt;After waiting an average of x days for the delivery, the staff should check again if all products are on store.;;88;After waiting an average of x days for the delivery, the staff should check again if all products are on store.;1;;response;wait for x days;check again ;;;;;;;;;;;;;;;
3;784358570_rev2.txt;The courier company informs the client about a potential delay until there are enough human resources to process the delivery.;;89;The courier company informs the client about a potential delay until there are enough human resources to process the delivery.;1;;Precedence;inform about delay;process delivery;;;;vague;;;;;;;;;;;
3;784358570_rev2.txt;Once the driver delivers the package, she should update the system so all stakeholders are notified.;;90;Once the driver delivers the package, she should update the system so all stakeholders are notified.;2;;response;deliver package;update system;Precedence;update system;notify all stakeholders;;;;;;;;;;;;
3;BicycleManufacturing.txt;Whenever the sales department receives an order, a new process instance is created.;;91;Whenever the sales department receives an order, a new process instance is created.;1;;init;Receive order;;;;;;;;;;;;;;;;
3;BicycleManufacturing.txt;If the storehouse has successfully reserved or back-ordered every item of the part list and the preparation activity has finished, the engineering department assembles the bicycle.;;92;If the storehouse has successfully reserved or back-ordered every item of the part list and the preparation activity has finished, the engineering department assembles the bicycle.;3;;precedence;reserve part;assemble bicycle;succession;preparation activity has finished;Assemble bycicle;precedence;back-ordered every item;Assemble bycicle;;;;;;;;;
3;BicycleManufacturing.txt;Afterwards, the sales department ships the bicycle to the customer and finishes the process instance.;;93;Afterwards, the sales department ships the bicycle to the customer and finishes the process instance.;1;;end;ship bicycle to the customer;;;;;;;;;;;;;;;;
3;20818304_rev1.txt;If the requested amount is lower or equal to 1M$ the company assess the risk of the credit.;;94;If the requested amount is lower or equal to 1M$, the company assess the risk of the credit.;1;;precedence;Receive amount request;Assess credit risk;;;;;;;;;;;;;;;
3;20818304_rev1.txt;After the approval request, the credit could be accepted or rejected;;95;After the approval request, the credit could be accepted or rejected;2;;precedence;Request approval;Accept credit;precedence;Request approval;Reject credit;;;;;;;;;;;;
3;20818304_rev1.txt;If the requested amount is greater than 1M$ an approval must be requested.;;96;If the requested amount is greater than 1M$, an approval must be requested.;1;;response;Receive amount request;Request approval;;;;;;;;;;;;;;;
3;20818304_rev1.txt;If the requested amount is lower or equal to 1M$ the company assess the risk of the credit.;;97;If the requested amount is lower or equal to 1M$, the company assess the risk of the credit.;1;;precedence;Receive amount request;Assess credit risk;;;;;;;;;;;;;;;
3;348018817_rev1.txt;As soon as an employee files an expense report the process is started.;;98;As soon as an employee files an expense report, the process is started.;1;;init;File expense;;;;;;;;;;;;;;;;
3;348018817_rev1.txt;Once the expense report is received a check is performed to make sure the employee has an account.;;99;Once the expense report is received, a check is performed to make sure the employee has an account.;1;;succession;Receive expense report;Perform check;;;;;;;;;;;;;;;
3;348018817_rev1.txt;If this check does not take place within 28 days, the process is stopped and the employee is sent a submit email.;;100;If this check does not take place within 28 days, the process is stopped and the employee is sent a submit email.;2;TRUE;succession;check take place;stop process;succession;check take place;Send submit email;;;;;;;;;;;;
3;348018817_rev1.txt;First, the supervisor approves within 7 days, this will result in the deposit of the reimbursement directly to the employee's bank account.;;101;First, the supervisor approves within 7 days, this will result in the deposit of the reimbursement directly to the employee's bank account.;1;;precedence;supervisor approves;deposit of reimbursement;;;;;;;;;;;;;;;
3;348018817_rev1.txt;Second, the supervisor rejects within 7 days, as a result the employee receives a notification through email that the request has been rejected.;;102;Second, the supervisor rejects within 7 days, as a result the employee receives a notification through email that the request has been rejected.;1;;precedence;supervisor rejects;receives a notification;;;;;;;;;;;;;;;
3;348018817_rev1.txt;Third, if it takes the supervisor more than 7 days to respond, an email is sent to the employee informing him/her that the approval is in progress and the part of the processes after a supervisor is asked for approval is repeated.;;103;Third, if it takes the supervisor more than 7 days to respond, an email is sent to the employee informing him/her that the approval is in progress and the part of the processes after a supervisor is asked for approval is repeated.;1;;precedence;respond;send email;;;;;;;;;;;;;;;
